city_name,temperature_c,humidity_percent,wind_speed_mps,weather_main,weather_description,date_pkt,time_pkt
Lalian,38.21,32,1.33,Clouds,broken clouds,2025-07-08,15:30:15
Kunri,38.04,38,7.43,Clouds,scattered clouds,2025-07-08,15:30:16
Lakki,40.9,33,5.96,Clouds,scattered clouds,2025-07-08,15:30:16
Kundian,39.98,33,4.55,Clouds,broken clouds,2025-07-08,15:30:17
Kunjah,28.42,54,3.31,Clouds,overcast clouds,2025-07-08,15:30:17
Kulachi,42.23,29,3.85,Clear,clear sky,2025-07-08,15:30:17
Kot Radha Kishan,30.64,51,1.05,Clouds,overcast clouds,2025-07-08,15:30:17
Kot Mumin,33.56,49,5.04,Clouds,overcast clouds,2025-07-08,15:30:18
Kot Diji,40.55,33,6.08,Clouds,few clouds,2025-07-08,15:30:18
Khurarianwala,32.94,48,5.42,Clouds,overcast clouds,2025-07-08,15:30:18
Khewra,31.71,55,3.93,Clouds,overcast clouds,2025-07-08,15:30:18
Kharan,43.1,16,4.43,Clouds,scattered clouds,2025-07-08,15:30:18
Khanpur Mahar,41.64,30,6.05,Clouds,few clouds,2025-07-08,15:30:19
Khangarh,41.72,30,6.81,Clouds,overcast clouds,2025-07-08,15:30:19
Khangah Dogran,31.93,45,4.57,Clouds,overcast clouds,2025-07-08,15:30:19
Khairpur Tamewah,40.95,31,6.15,Clouds,overcast clouds,2025-07-08,15:30:20
Khairpur Nathan Shah,41.98,29,6.93,Clouds,scattered clouds,2025-07-08,15:30:20
Khairpur,41.89,30,6.38,Clouds,scattered clouds,2025-07-08,15:30:20
Kashmor,43.09,28,6.52,Clouds,broken clouds,2025-07-08,15:30:20
Kandiaro,39.99,33,5.66,Clouds,broken clouds,2025-07-08,15:30:20
Kanganpur,33.92,42,1.81,Clouds,overcast clouds,2025-07-08,15:30:20
Karor,42.21,29,5.08,Clouds,scattered clouds,2025-07-08,15:30:21
Kamra,26.32,72,0.75,Clouds,overcast clouds,2025-07-08,15:30:21
Kamar Mushani,38.79,39,4.8,Clouds,broken clouds,2025-07-08,15:30:21
Kalur Kot,41.7,30,5.35,Clouds,scattered clouds,2025-07-08,15:30:21
Kalat,32.6,20,6.57,Clouds,broken clouds,2025-07-08,15:30:22
Kahuta,28.8,68,1.21,Clouds,overcast clouds,2025-07-08,15:30:22
Kallar Kahar,31.43,52,2.61,Clouds,overcast clouds,2025-07-08,15:30:22
Kalabagh,37.81,41,4.83,Clouds,broken clouds,2025-07-08,15:30:22
Kahna Nau,28.44,60,2.64,Clouds,overcast clouds,2025-07-08,15:30:22
Jiwani,29.58,77,5.42,Clouds,scattered clouds,2025-07-08,15:30:22
Jhawarian,35.49,45,6.75,Clouds,broken clouds,2025-07-08,15:30:23
Jhol,41.08,31,5.81,Clouds,scattered clouds,2025-07-08,15:30:23
Chak Jhumra,35.32,39,4.93,Clouds,overcast clouds,2025-07-08,15:30:23
Jauharabad,38.76,34,3.14,Clouds,broken clouds,2025-07-08,15:30:23
Jandiala Sher Khan,29.47,56,3.45,Clouds,overcast clouds,2025-07-08,15:30:23
Jalalpur Pirwala,42.17,29,6.71,Clouds,overcast clouds,2025-07-08,15:30:24
Jand,34.91,45,3.47,Clouds,scattered clouds,2025-07-08,15:30:25
Havelian,29.08,58,1.91,Clouds,overcast clouds,2025-07-08,15:30:25
Chak Thirty-one -Eleven Left,41.31,29,6.83,Clouds,overcast clouds,2025-07-08,15:30:25
Hazro,34.24,44,2.75,Clouds,overcast clouds,2025-07-08,15:30:26
Hangu,30.13,60,2.41,Clouds,broken clouds,2025-07-08,15:30:26
Gharo,34.09,54,6.66,Clouds,broken clouds,2025-07-08,15:30:26
Hala,40.13,34,5.51,Clouds,scattered clouds,2025-07-08,15:30:26
Haripur,31.63,49,1.51,Clouds,overcast clouds,2025-07-08,15:30:26
Harnai,34.99,44,4.96,Clouds,scattered clouds,2025-07-08,15:30:27
Garhi Khairo,43.82,26,5.92,Clouds,broken clouds,2025-07-08,15:30:28
Garhiyasin,42.52,29,4.76,Clouds,broken clouds,2025-07-08,15:30:28
Garh Maharaja,42.05,29,5.7,Clouds,broken clouds,2025-07-08,15:30:29
Gambat,40.64,32,6.62,Clouds,few clouds,2025-07-08,15:30:29
Fatehpur,42.86,27,5.29,Clouds,broken clouds,2025-07-08,15:30:31
Eminabad,28.17,69,5.64,Clouds,overcast clouds,2025-07-08,15:21:03
Faqirwali,40.03,33,3.95,Clouds,overcast clouds,2025-07-08,15:30:31
Gadani,31.04,71,6.02,Clouds,broken clouds,2025-07-08,15:30:31
Fort Abbas,39.41,34,6.3,Clouds,broken clouds,2025-07-08,15:30:31
Faruka,40.79,29,2.18,Rain,light rain,2025-07-08,15:30:32
Dokri,40.93,32,6.5,Clouds,scattered clouds,2025-07-08,15:30:32
Dullewala,42.25,29,4.76,Clouds,scattered clouds,2025-07-08,15:30:32
Dunga Bunga,40.03,33,4.96,Clouds,overcast clouds,2025-07-08,15:30:32
Dunyapur,41.65,30,6.63,Clouds,overcast clouds,2025-07-08,15:30:32
Dinga,29.78,53,3.21,Clouds,overcast clouds,2025-07-08,15:30:33
Dīr,27.08,69,4.06,Clouds,broken clouds,2025-07-08,15:30:34
Dijkot,36.97,37,3.49,Clouds,overcast clouds,2025-07-08,15:30:35
Digri,37.06,41,6.12,Clouds,broken clouds,2025-07-08,15:30:35
Dhaunkal,27.68,56,3.33,Clouds,overcast clouds,2025-07-08,15:30:35
Daur,38.89,37,6.22,Clouds,broken clouds,2025-07-08,15:30:35
Daulatpur,39.51,35,6.65,Clouds,broken clouds,2025-07-08,15:30:35
Dhanote,41.78,30,6.39,Clouds,overcast clouds,2025-07-08,15:30:36
Daud Khel,38.16,40,4.91,Clouds,broken clouds,2025-07-08,15:30:36
Darya Khan,43.74,26,5.56,Clouds,scattered clouds,2025-07-08,15:30:37
Dajal,41.1,31,7.73,Clouds,overcast clouds,2025-07-08,15:30:37
Dadhar,43.08,27,5.66,Clouds,broken clouds,2025-07-08,15:30:37
Choa Saidan Shah,29.37,58,3.28,Clouds,overcast clouds,2025-07-08,15:30:38
Chitral,33.36,28,6.22,Clear,clear sky,2025-07-08,15:30:38
Chhor,38.79,37,8.48,Clouds,scattered clouds,2025-07-08,15:30:38
Chawinda,27.47,60,2.72,Clouds,overcast clouds,2025-07-08,15:30:39
Chamber,37.37,41,6.04,Clouds,broken clouds,2025-07-08,15:30:39
Rawalakot,22.68,76,1.25,Clouds,overcast clouds,2025-07-08,15:30:42
Chak,42.0,30,5.8,Clouds,few clouds,2025-07-08,15:30:42
Pir Jo Goth,41.55,31,6.25,Clouds,few clouds,2025-07-08,15:30:42
Zhob,37.2,21,1.6,Clear,clear sky,2025-07-08,15:30:42
Chak Azam Sahu,39.07,32,1.68,Clouds,overcast clouds,2025-07-08,15:30:42
Yazman,39.96,34,6.42,Clouds,overcast clouds,2025-07-08,15:30:43
Utmanzai,34.56,47,3.99,Clouds,few clouds,2025-07-08,15:30:44
Chak Five Hundred Seventy-five,30.68,50,0.67,Clouds,overcast clouds,2025-07-08,15:30:44
Zahir Pir,42.44,29,6.82,Clouds,broken clouds,2025-07-08,15:30:44
Zaida,34.04,44,2.09,Clouds,broken clouds,2025-07-08,15:30:44
Ubauro,42.01,30,6.28,Clouds,scattered clouds,2025-07-08,15:30:44
Usta Muhammad,43.81,26,5.82,Clouds,broken clouds,2025-07-08,15:30:44
Taunsa,39.77,34,3.95,Clouds,overcast clouds,2025-07-08,15:30:44
Thul,43.03,28,5.26,Clouds,scattered clouds,2025-07-08,15:30:44
Topi,33.61,46,1.9,Clouds,overcast clouds,2025-07-08,15:30:44
Tangi,33.54,51,3.84,Clouds,few clouds,2025-07-08,15:30:45
Tando Jam,37.34,42,8.38,Clouds,broken clouds,2025-07-08,15:30:45
Tank,41.51,30,1.61,Clear,clear sky,2025-07-08,15:30:45
Tando Bago,36.23,45,6.62,Clouds,overcast clouds,2025-07-08,15:30:46
Tandlianwala,36.5,37,0.24,Clouds,overcast clouds,2025-07-08,15:30:46
Talagang,34.58,45,3.51,Clouds,broken clouds,2025-07-08,15:30:47
Thal,22.25,69,3.86,Clouds,scattered clouds,2025-07-08,15:30:47
Surab,33.44,25,6.08,Clouds,broken clouds,2025-07-08,15:30:47
Talamba,41.39,30,6.21,Clouds,overcast clouds,2025-07-08,15:30:47
Talhar,36.29,44,6.13,Clouds,overcast clouds,2025-07-08,15:30:47
Sobhodero,40.65,32,6.54,Clouds,scattered clouds,2025-07-08,15:30:48
Sukheke Mandi,33.46,39,3.54,Clouds,overcast clouds,2025-07-08,15:30:48
Sinjhoro,40.99,31,4.87,Clouds,scattered clouds,2025-07-08,15:30:49
Sillanwali,40.46,28,2.18,Clouds,scattered clouds,2025-07-08,15:30:49
Sita Road,41.17,31,6.52,Clouds,scattered clouds,2025-07-08,15:30:49
Sarai Alamgir,30.25,53,2.74,Clouds,overcast clouds,2025-07-08,15:30:49
Shahpur Chakar,40.52,33,5.29,Clouds,few clouds,2025-07-08,15:30:49
Sharqpur Sharif,29.05,57,2.45,Clouds,overcast clouds,2025-07-08,15:30:49
Sanghar,41.14,31,5.23,Clouds,few clouds,2025-07-08,15:30:49
Sakrand,38.93,37,6.55,Clouds,broken clouds,2025-07-08,15:30:49
Saidpur,26.7,54,2.51,Clouds,overcast clouds,2025-07-08,15:30:50
Sahiwal,40.42,30,1.67,Rain,moderate rain,2025-07-08,15:30:50
Ratodero,42.14,29,5.41,Clouds,broken clouds,2025-07-08,15:30:50
Rojhan,41.7,31,5.61,Clouds,overcast clouds,2025-07-08,15:30:50
Renala Khurd,36.33,36,4.01,Clouds,broken clouds,2025-07-08,15:30:50
Ranipur,40.42,33,6.63,Clouds,few clouds,2025-07-08,15:30:51
Rajanpur,41.21,32,5.66,Clouds,overcast clouds,2025-07-08,15:30:51
Raiwind,29.3,57,2.5,Clouds,overcast clouds,2025-07-08,15:30:51
Raja Jang,29.35,57,1.99,Clouds,overcast clouds,2025-07-08,15:30:51
Qadirpur Ran,42.13,28,5.3,Clouds,overcast clouds,2025-07-08,15:30:51
Pindi Gheb,34.35,48,4.17,Clouds,overcast clouds,2025-07-08,15:30:52
Pir Mahal,37.29,40,0.64,Clouds,overcast clouds,2025-07-08,15:30:52
Pindi Bhattian,35.46,35,1.63,Clouds,overcast clouds,2025-07-08,15:30:52
Phalia,30.72,52,4.69,Clouds,overcast clouds,2025-07-08,15:30:52
Pind Dadan Khan,33.15,52,4.4,Clouds,overcast clouds,2025-07-08,15:30:52
Paharpur,43.09,28,5.3,Clouds,scattered clouds,2025-07-08,15:30:52
Pasni,29.42,79,4.58,Clear,clear sky,2025-07-08,15:30:52
Bhagowal,27.14,59,2.15,Clouds,overcast clouds,2025-07-08,15:30:53
Pabbi,35.08,50,3.59,Clouds,broken clouds,2025-07-08,15:30:53
Ormara,28.54,84,4.31,Clear,clear sky,2025-07-08,15:30:53
Nushki,41.59,14,4.12,Clouds,few clouds,2025-07-08,15:30:53
Naushahra Virkan,29.07,58,3.37,Clouds,overcast clouds,2025-07-08,15:30:54
Naudero,41.78,30,5.67,Clouds,broken clouds,2025-07-08,15:30:54
Nasirabad,42.22,29,7.16,Clouds,scattered clouds,2025-07-08,15:30:54
Murree,22.48,67,1.5,Clouds,overcast clouds,2025-07-08,15:30:55
Narang Mandi,28.56,58,3.81,Clouds,overcast clouds,2025-07-08,15:30:55
Mustafabad,36.57,35,3.97,Clouds,broken clouds,2025-07-08,15:30:55
Bhiria,39.63,34,5.99,Clouds,broken clouds,2025-07-08,15:30:56
Bhopalwala,26.79,59,3.18,Clouds,overcast clouds,2025-07-08,15:30:56
Bhawana,40.37,29,3.25,Clouds,broken clouds,2025-07-08,15:30:56
Bhagwal,28.65,53,2.32,Clouds,overcast clouds,2025-07-08,15:30:56
Bat Khela,31.88,54,2.84,Clouds,scattered clouds,2025-07-08,15:30:56
Bhera,34.17,48,5.56,Clouds,overcast clouds,2025-07-08,15:30:56
Bela,36.47,50,5.17,Clouds,broken clouds,2025-07-08,15:30:56
Baffa,27.09,67,0.9,Clouds,overcast clouds,2025-07-08,15:30:39
Bagh,23.76,78,1.26,Clouds,overcast clouds,2025-07-08,15:31:01
Basirpur,36.82,35,3.16,Clouds,overcast clouds,2025-07-08,15:31:01
Bar Shinglai,22.99,69,2.47,Clouds,overcast clouds,2025-07-08,15:31:04
Haji Dad Muhammad Kili,41.14,9,6.7,Clear,clear sky,2025-07-08,15:31:07
Chak Seventy-five - Five Right,38.29,33,5.36,Clouds,overcast clouds,2025-07-08,15:31:07
Dandot RS,30.4,54,3.96,Clouds,overcast clouds,2025-07-08,15:31:07
Chak 241 GB Behraam,39.1,32,1.99,Clouds,overcast clouds,2025-07-08,15:31:07
Arif Wala,36.53,49,4.79,Clouds,broken clouds,2025-07-08,15:31:07
Wah Cantt,31.61,47,3.41,Clouds,overcast clouds,2025-07-08,15:31:09
Risālpur,34.65,49,4.09,Clouds,broken clouds,2025-07-08,15:31:09
Akora,34.47,49,3.35,Clouds,broken clouds,2025-07-08,15:31:09
Baddomalhi,28.53,58,5.32,Clouds,overcast clouds,2025-07-08,15:31:14
Landi Kotal,32.07,58,5.64,Clouds,broken clouds,2025-07-08,15:31:24
Liliani,33.78,49,5.59,Clouds,overcast clouds,2025-07-08,15:31:24
Mirpur Sakro,33.98,53,5.94,Clouds,overcast clouds,2025-07-08,15:31:24
Mehar,41.76,30,7.3,Clouds,scattered clouds,2025-07-08,15:31:24
Matiari,39.4,36,6.63,Clouds,scattered clouds,2025-07-08,15:31:24
Mangla,40.78,29,2.21,Rain,light rain,2025-07-08,15:31:24
Khandowa,30.36,53,2.71,Clouds,overcast clouds,2025-07-08,15:31:27
Kot Malik Barkhurdar,36.09,15,5.02,Clouds,few clouds,2025-07-08,15:31:27
Shooli Bazar,36.78,44,6.83,Clouds,scattered clouds,2025-07-08,15:31:27
Karak,34.42,48,5.38,Clouds,broken clouds,2025-07-08,15:31:27
Kohlu,34.15,37,6.85,Clouds,broken clouds,2025-07-08,15:31:27
Ladheke,28.97,58,2.49,Clouds,overcast clouds,2025-07-08,15:31:27
Khar,31.96,53,3.75,Clouds,scattered clouds,2025-07-08,15:31:28
Mīrpur Batoro,36.8,43,5.83,Clouds,overcast clouds,2025-07-08,15:31:29
Jatoi Shimali,41.73,30,7.18,Clouds,overcast clouds,2025-07-08,15:31:30
Ghauspur,42.47,29,5.74,Clouds,scattered clouds,2025-07-08,15:31:30
Fazilpur,28.91,57,3.78,Clouds,overcast clouds,2025-07-08,15:31:31
