city_name,temperature_c,humidity_percent,wind_speed_mps,weather_main,weather_description,date_pkt,time_pkt
Ghoriwala,41.88,29,4.95,Clouds,few clouds,2025-07-08,15:32:18
Samandi,40.49,32,2.16,Clear,clear sky,2025-07-08,15:32:18
Hidwala Gujran,29.33,61,3.04,Clouds,overcast clouds,2025-07-08,15:32:15
Sara Shah,32.51,55,3.28,Clouds,few clouds,2025-07-08,15:32:18
Ajim Khan,29.21,52,6.38,Clouds,scattered clouds,2025-07-08,15:32:23
Aghzaikas,29.21,52,6.38,Clouds,scattered clouds,2025-07-08,15:32:23
Abdullah Bagh Kalle,28.77,55,5.23,Clouds,scattered clouds,2025-07-08,15:32:23
Abdur Rahman Khel,23.22,60,3.65,Clouds,few clouds,2025-07-08,15:32:23
Gador,36.45,50,5.19,Clouds,scattered clouds,2025-07-08,15:32:27
Datta Khel,31.74,51,6.31,Clouds,scattered clouds,2025-07-08,15:32:28
Khar,25.35,52,4.76,Clear,clear sky,2025-07-08,15:32:28
Kurai,31.74,51,6.31,Clouds,scattered clouds,2025-07-08,15:32:28
Kahori,31.32,71,4.94,Clouds,few clouds,2025-07-08,15:32:28
Cham Kani,25.38,62,3.17,Clouds,scattered clouds,2025-07-08,15:32:29
Adam Kili,36.81,39,6.46,Clouds,scattered clouds,2025-07-08,15:32:29
Spinkai,21.53,58,0.43,Clouds,scattered clouds,2025-07-08,15:32:29
Khadizai,23.89,63,2.9,Clouds,broken clouds,2025-07-08,15:32:29
Kuz Barangola,31.3,55,3.29,Clouds,few clouds,2025-07-08,15:32:31
Darya Khan,41.37,31,5.66,Clouds,broken clouds,2025-07-08,15:32:39
Nawāgai,29.75,63,2.86,Clouds,broken clouds,2025-07-08,15:32:39
Nagotal,25.75,65,2.75,Clouds,overcast clouds,2025-07-08,15:32:40
Kot Bhutta,41.68,31,5.78,Clouds,scattered clouds,2025-07-08,15:32:41
Bhaiwala,41.83,29,5.88,Clouds,broken clouds,2025-07-08,15:32:43
Moinabad,42.43,29,7.56,Clouds,scattered clouds,2025-07-08,15:32:43
Basti Haji Gul Muhammad,42.22,29,7.07,Clouds,scattered clouds,2025-07-08,15:32:43
Sanghori,29.35,60,3.11,Clouds,overcast clouds,2025-07-08,15:32:43
Basti Arain,42.58,29,6.71,Clouds,scattered clouds,2025-07-08,15:32:45
Qaimpur,41.81,30,6.14,Clouds,few clouds,2025-07-08,15:32:46
Began Jarwar,36.75,43,7.08,Clouds,broken clouds,2025-07-08,15:32:48
Naich,41.64,30,6.31,Clouds,broken clouds,2025-07-08,15:32:48
Ziarat Pir Chinasi,20.23,85,0.82,Clouds,overcast clouds,2025-07-08,15:32:48
Goth Mitho Faqir Sehta,40.64,33,5.28,Clouds,scattered clouds,2025-07-08,15:32:48
Goth Mando Khan Chandio,42.56,29,6.56,Clouds,broken clouds,2025-07-08,15:32:48
Goth Jan Muhammad Nizamani,36.86,42,5.56,Clouds,broken clouds,2025-07-08,15:32:48
Kiran Baik,14.54,83,0.63,Clouds,overcast clouds,2025-07-08,15:32:48
Batnara,16.17,82,0.63,Clouds,overcast clouds,2025-07-08,15:32:50
Awan Patti,19.78,77,0.91,Clouds,overcast clouds,2025-07-08,15:32:54
Dad Khan Darwar,37.14,42,6.65,Clouds,broken clouds,2025-07-08,15:32:59
Majhoi,28.61,78,0.89,Clouds,overcast clouds,2025-07-08,15:33:11
Lalazar,15.33,82,2.63,Clouds,overcast clouds,2025-07-08,15:33:12
Devi Gali,22.18,75,1.06,Clouds,overcast clouds,2025-07-08,15:33:12
Nar Sher Ali Khan,18.04,83,1.28,Clouds,overcast clouds,2025-07-08,15:33:12
Sahlian Maldial,23.97,80,1.36,Clouds,overcast clouds,2025-07-08,15:33:15
Gulpur,29.42,64,0.81,Clouds,overcast clouds,2025-07-08,15:33:27
Kumhar Bandi,24.29,79,0.97,Clouds,overcast clouds,2025-07-08,15:33:30
Bains,29.32,57,2.4,Clouds,overcast clouds,2025-07-08,15:33:31
Islamgarh,29.92,55,2.49,Clouds,overcast clouds,2025-07-08,15:33:31
Barjan,28.78,59,2.12,Clouds,overcast clouds,2025-07-08,15:33:31
Kalyal Bhainsi,29.43,56,2.52,Clouds,overcast clouds,2025-07-08,15:33:32
Mandi,29.03,66,0.59,Clouds,overcast clouds,2025-07-08,15:33:13
Chak Haryam,29.75,55,2.67,Clouds,overcast clouds,2025-07-08,15:33:32
Andra Kalan,29.92,55,2.49,Clouds,overcast clouds,2025-07-08,15:33:33
Kalri,29.88,53,2.58,Clouds,overcast clouds,2025-07-08,15:33:33
Thothal Maira,30.03,54,2.74,Clouds,overcast clouds,2025-07-08,15:33:33
Phaliala,29.92,53,3.07,Clouds,overcast clouds,2025-07-08,15:33:33
Chechian,30.36,53,3.29,Clouds,overcast clouds,2025-07-08,15:33:34
Nagial,30.33,52,3.21,Clouds,overcast clouds,2025-07-08,15:33:35
Abdupur,30.19,52,3.05,Clouds,overcast clouds,2025-07-08,15:33:35
Ali Baig,30.02,51,2.7,Clouds,overcast clouds,2025-07-08,15:33:35
Bains,30.32,52,3.19,Clouds,overcast clouds,2025-07-08,15:33:36
Kalu Chima,28.71,50,3.41,Clouds,overcast clouds,2025-07-08,15:33:36
Dilawar Chima,28.83,50,3.46,Clouds,overcast clouds,2025-07-08,15:33:36
Iqbal Nagar,29.86,53,4.91,Clouds,overcast clouds,2025-07-08,15:33:36
Lalian,26.48,54,2.85,Clouds,overcast clouds,2025-07-08,15:33:37
Mari Waraichan,26.77,52,2.63,Clouds,overcast clouds,2025-07-08,15:33:37
Mianwal,26.82,54,2.37,Clouds,overcast clouds,2025-07-08,15:33:37
Bido,26.67,55,2.44,Clouds,overcast clouds,2025-07-08,15:33:37
Chak One Hundred Thirty-four -Sixteen Left,41.48,30,6.45,Clouds,overcast clouds,2025-07-08,15:33:38
Islamabad,41.81,29,6.74,Clouds,overcast clouds,2025-07-08,15:33:38
Chak One Hundred Forty-nine Gugera Branch,39.89,32,2.28,Clouds,overcast clouds,2025-07-08,15:33:38
Chak Two Hundred Eighty-six,36.66,41,0.82,Clouds,overcast clouds,2025-07-08,15:33:38
Chak Two Hundred Fifty-five Gugera Branch,38.84,34,1.28,Clouds,overcast clouds,2025-07-08,15:33:39
